gperc,nb,thres,sh,avg
0,1561357,-14500000,-.0024999999,-150370
1,1567122,-70700,-.00107,-63904
2,1563103,-61200,-.00098999997,-59555
3,1564746,-57400,-.00079999998,-47966
4,1565385,-39300,-.00055,-32927
5,1563200,-26600,-.00039,-23552
6,1562454,-22500,-.00036999999,-22344
7,1566144,-21700,-.00036000001,-21616
8,1566186,-20700,-.00030000001,-17890
9,1562349,-16300,-.00026,-15730
10,1566232,-15700,-.00025000001,-15052
11,1558201,-14300,-.00023000001,-13617
12,1569721,-13000,-.00022,-12939
13,1565362,-12600,-.00019999999,-11701
14,1564307,-10900,-.00014,-8548
15,1563561,-6300,-.000079999998,-4900
16,1564149,-3900,-.000039999999,-2173
17,1560880,-700,0,-123
18,1566793,0,0,0
19,1565354,0,0,0
20,1564484,0,0,0
21,1565767,0,0,3
22,1564229,40,9.9999997e-06,301
23,1565068,640,9.9999997e-06,758
24,1563992,820,.000019999999,1030
25,1564246,1200,.000019999999,1326
26,1558975,1350,.000029999999,1527
27,1569451,1650,.000029999999,1839
28,1565013,2250,.000049999999,2925
29,1563972,3450,.000070000002,4153
30,1563707,4850,.000090000001,5552
31,1565321,6350,.00012,7280
32,1564634,8350,.00016,9553
33,1562341,10700,.00019000001,11577
34,1563947,12400,.00023000001,13529
35,1566327,14800,.00026999999,16303
36,1562279,17400,.00031,18881
37,1567744,20400,.00036999999,21906
38,1562808,23300,.00042,24935
39,1563187,26400,.00047,28087
40,1564662,29900,.00050999998,30867
41,1564023,32200,.00056999997,34261
42,1566195,36400,.00065,38938
43,1563742,41300,.00072000001,43382
44,1564379,45000,.00078,46959
45,1564903,48400,.00083999999,50135
46,1563486,52400,.00092000002,55277
47,1565471,58100,.00102,60929
48,1563112,63600,.0011,66337
49,1564753,69100,.0012000001,71758
50,1564257,74600,.00129,77527
51,1564065,80200,.00138,82950
52,1564352,85900,.0014900001,89289
53,1566507,92400,.0016,95762
54,1563673,99300,.0017,102083
55,1565517,105000,.00181,108398
56,1563497,112000,.00192,115576
57,1562961,119000,.00205,122880
58,1566502,125000,.0021500001,129108
59,1564925,133000,.0023000001,137954
60,1563432,142000,.00245,147068
61,1565098,152000,.0026,155932
62,1564712,161000,.0027600001,165755
63,1565027,171000,.00294,176411
64,1564072,182000,.00312,187483
65,1562952,193000,.0033100001,198549
66,1566432,204000,.00352,210710
67,1562733,218000,.0037499999,225139
68,1565376,231000,.00398,238507
69,1562937,246000,.00422,253656
70,1564901,262000,.0044999998,269980
71,1565668,278000,.0047800001,286639
72,1564013,296000,.0050900001,305797
73,1562238,316000,.0054100002,324847
74,1567808,335000,.0057700002,345274
75,1564536,355000,.00612,367386
76,1561500,379000,.0065199998,391917
77,1565977,404000,.0069300001,415505
78,1565374,427000,.00734,440315
79,1564024,455000,.0078099999,468969
80,1563688,483000,.0082999999,498649
81,1563175,516000,.0088900002,534202
82,1566918,553000,.0095800003,573876
83,1564692,594000,.01025,614941
84,1562340,637000,.01101,661364
85,1566659,685000,.01193,715117
86,1561831,745000,.01293,777171
87,1566505,810000,.01408,843968
88,1561340,879000,.01527,918188
89,1567629,962000,.016899999,1011925
90,1564821,1060000,.01856,1113840
91,1564153,1170000,.02059,1236001
92,1563969,1310000,.02299,1380425
93,1560028,1450000,.02585,1555630
94,1568950,1670000,.03033,1814899
95,1563661,1970000,.036290001,2178835
96,1565302,2380000,.043919999,2634294
97,1564620,2930000,.057700001,3462768
98,1562981,4200000,.093670003,5627098
99,158194,7850000,.01381,8198778
99.099998,156627,8640000,.01505,9021903
99.199997,156187,9420000,.016310001,9804684
99.300003,156643,10200000,.0178,10668681
99.400002,156020,11100000,.01953,11751895
99.5,156874,12600000,.022600001,13524413
99.599998,156480,14800000,.02705,16229869
99.699997,156287,18300000,.03421,20552608
99.800003,156500,23500000,.050999999,30596748
99.900002,15769,39100000,.0067199999,40018880
99.910004,15619,40900000,.00703,42275840
99.919998,15647,43600000,.0074999998,44981200
99.93,15653,46500000,.0078999996,47359036
99.940002,15512,49500000,.0087299999,52859784
99.949997,15763,56000000,.01008,60027084
99.959999,15645,66100000,.01215,72889336
99.970001,15659,82400000,.016720001,100277344
99.980003,15638,119000000,.02482,149047648
99.989998,1564,191000000,.0032800001,197194976
99.990997,1581,204000000,.00355,210686432
99.991997,1548,216000000,.00376,228076400
99.992996,1585,243000000,.0043199998,255712576
99.994003,1556,271000000,.0047599999,286969760
99.995003,1568,300000000,.0053500002,320330624
99.996002,1556,344000000,.00636,383554432
99.997002,1558,430000000,.00856,515865856
99.998001,1563,611000000,.01241,745465856
99.999001,171,926000000,.00171,938747648
99.9991,158,970000000,.00167,994579456
99.999199,141,1038000000,.00159,1060000000
99.999298,162,1088000000,.0019499999,1130000000
99.999397,154,1196000000,.0020300001,1240000000
99.999496,155,1284000000,.0022,1330000000
99.999603,173,1436000000,.0029500001,1600000000
99.999702,161,1880999936,.0036599999,2130000000
99.999802,160,2600000000,.0057999999,3400000000
99.999908,32,4499999744,.00164,4800000000
99.999924,17,5299999744,.001,5500000256
99.999939,15,5699999744,.00094,5910000128
99.999947,32,6200000000,.0022799999,6680000000
99.999969,17,7800000000,.00159,8780000256
99.999977,32,9600000000,.0055499999,16300000256
99.999992,15,35499999232,.01004,62799998976
