"","data","networth","weight"
"1","DINA",5435918617,519.29869
"2","DINA",2959594593.6,53.48673
"3","DINA",2541332414.4,54.38245
"4","DINA",2204135433.2,53.48673
"5","DINA",2044512824.6,53.48673
"6","DINA",1938415009.8,54.38245
"7","DINA",1880791842.4,53.75331
"8","DINA",1805384282.8,54.38245
"9","DINA",1719875285,53.75331
"10","DINA",1634317729.8,54.38245
"11","DINA",1529434870,52.85759
"12","DINA",1477483685.4,55.28881
"13","DINA",1436136791,55.6407
"14","DINA",1388462099.2,53.75331
"15","DINA",1346342717.8,53.48673
"16","DINA",1325226682.8,53.75331
"17","DINA",1303986622.8,54.38245
"18","DINA",1273732242.2,53.75331
"19","DINA",1246218721.8,54.38245
"20","DINA",1225165807.4,53.12417
"21","DINA",1195947885.8,54.38245
"22","DINA",1136400388,53.12417
"23","DINA",1099348313.6,54.38245
"24","DINA",1064214206.6,54.38245
"25","DINA",1049321091.2,53.75331
"26","DINA",1037540410,53.48673
"27","DINA",1025597701.6,52.22845
"28","DINA",1003148724.8,54.38245
"29","DINA",983281702,55.6407
"30","DINA",969503024.4,53.75331
"31","DINA",950878848.6,55.50207
"32","DINA",933386387,53.48673
"33","DINA",925341818.4,52.85759
"34","DINA",913118773.6,440.72147
"35","DINA",888403683.4,53.75331
"36","DINA",863787308.8,52.85759
"37","DINA",854049504.8,53.12417
"38","DINA",840047281,54.38245
"39","DINA",830257603.4,53.75331
"40","DINA",814490112.8,53.18815
"41","DINA",793341709.4,53.3481
"42","DINA",779689127,54.38245
"43","DINA",765585896.4,53.75331
"44","DINA",752182652.6,53.45473
"45","DINA",740684299.6,53.78529
"46","DINA",730736721.8,207.49557
"47","DINA",720256210.6,52.22845
"48","DINA",712919335.2,53.75331
"49","DINA",706717967,53.48673
"50","DINA",695803900.8,52.85759
"51","DINA",687101039,57.98661
"52","DINA",682702963.2,53.75331
"53","DINA",674740271.8,53.48673
"54","DINA",665518514.6,53.12417
"55","DINA",654755025.2,54.38245
"56","DINA",646531414.4,53.45473
"57","DINA",638029454,54.46774
"58","DINA",631263349.8,53.12417
"59","DINA",628435785.6,51.96187
"60","DINA",620438291,55.08621
"61","DINA",614746666.6,54.92627
"62","DINA",610843495.2,54.38245
"63","DINA",605151922.6,56.18452
"64","DINA",601006227.4,53.12417
"65","DINA",586810532.2,54.08387
"66","DINA",581435952.6,54.08387
"67","DINA",578708832.6,53.45473
"68","DINA",571578941.2,53.18815
"69","DINA",565999554.4,51.96187
"70","DINA",560124963.8,53.59336
"71","DINA",551636083.8,52.82559
"72","DINA",543206546.8,54.38245
"73","DINA",535523159,52.55901
"74","DINA",532237136.4,52.88957
"75","DINA",529490390.8,53.99855
"76","DINA",524679693.4,55.55539
"77","DINA",520858973.4,52.22845
"78","DINA",515968216.6,53.12417
"79","DINA",511112630.4,54.38245
"80","DINA",503935843.4,53.45473
"81","DINA",497940561.4,54.74498
"82","DINA",492035335.2,52.82559
"83","DINA",487777142.4,53.75331
"84","DINA",485769939.6,52.85759
"85","DINA",481077098,54.24382
"86","DINA",478395243.8,53.45473
"87","DINA",474098184,54.08387
"88","DINA",469890267,53.48673
"89","DINA",465410747,53.45473
"90","DINA",461715564.2,54.08387
"91","DINA",459112346.2,54.08387
"92","DINA",457623923.8,53.50804
"93","DINA",454254511.2,52.85759
"94","DINA",449533865.6,53.75331
"95","DINA",446237977.2,53.48671
"96","DINA",444052754,53.45473
"97","DINA",440417457.2,54.38245
"98","DINA",436501788.2,56.18453
"99","DINA",432523983.2,53.18815
"100","DINA",430056578.6,53.99856
"101","DINA",426509577.4,53.48671
"102","DINA",424857616.2,54.29713
"103","DINA",423615420.6,53.48673
"104","DINA",419768915.6,53.39075
"105","DINA",415784626.6,53.29477
"106","DINA",412345379,54.48907
"107","DINA",409166236,54.08387
"108","DINA",406740409.2,53.2308
"109","DINA",404760466.2,54.38245
"110","DINA",401178916.2,53.66799
"111","DINA",398886656.4,52.55901
"112","DINA",395805785.4,53.75331
"113","DINA",394402499.2,53.75331
"114","DINA",391953268.6,52.82559
"115","DINA",390039824,53.78529
"116","DINA",387777089.6,54.03055
"117","DINA",385830128,53.99856
"118","DINA",383447639,53.12417
"119","DINA",381672955.6,53.75331
"120","DINA",378613531.8,54.29713
"121","DINA",376989427.4,55.88595
"122","DINA",375797384.4,52.85759
"123","DINA",374183980.2,54.08387
"124","DINA",372530414.8,54.38245
"125","DINA",372036625.2,54.99023
"126","DINA",369008214,54.38245
"127","DINA",367666782.6,53.42273
"128","DINA",365159808.8,53.12417
"129","DINA",362432184.4,53.78529
"130","DINA",359993470.6,52.29243
"131","DINA",357740842.6,52.82559
"132","DINA",355869778.8,55.88595
"133","DINA",354444023.8,53.18815
"134","DINA",352408352.2,54.38242
"135","DINA",350563343.2,53.18815
"136","DINA",349146806.2,54.62769
"137","DINA",345643600.6,52.85757
"138","DINA",343785240.4,54.92627
"139","DINA",343071289.4,55.88595
"140","DINA",341346772,51.92987
"141","DINA",339201374.4,53.72131
"142","DINA",338251193.2,56.18453
"143","DINA",336914156.2,54.08387
"144","DINA",334371821.6,53.29478
"145","DINA",332931118.2,54.56371
"146","DINA",330710233.8,53.75331
"147","DINA",328666058,53.75331
"148","DINA",326449424.8,54.08387
"149","DINA",323990778,56.739
"150","DINA",322659110.8,54.08387
"151","DINA",321364977.4,53.75331
"152","DINA",319868199.8,53.59336
"153","DINA",318271668,54.08387
"154","DINA",316117087.6,52.96422
"155","DINA",314841817.8,53.41206
"156","DINA",313687348.8,53.18815
"157","DINA",312721987.6,52.96422
"158","DINA",310970057.8,54.38245
"159","DINA",309574383.8,54.08387
"160","DINA",307551370.2,52.29243
"161","DINA",306758539.2,56.67501
"162","DINA",306148847.6,55.25681
"163","DINA",305033647,53.62534
"164","DINA",302461868.2,53.78529
"165","DINA",300734919.2,54.08387
"166","DINA",299968496.2,53.15615
"167","DINA",298424544,54.08387
"168","DINA",297137393.4,56.9096
"169","DINA",296312101,54.29713
"170","DINA",294702349.2,53.75331
"171","DINA",293471360.6,52.88957
"172","DINA",292910709,52.29243
"173","DINA",292311361.6,52.59101
"174","DINA",291092161,55.81128
"175","DINA",289533857.8,53.27344
"176","DINA",288896115,54.29713
"177","DINA",287959720.8,51.98319
"178","DINA",286715404,53.20946
"179","DINA",285415437.4,54.29713
"180","DINA",284218737.2,52.06848
"181","DINA",283819913.6,54.99023
"182","DINA",282807134.2,53.94524
"183","DINA",280852001.2,54.62769
"184","DINA",279836908.6,54.38245
"185","DINA",279026483.8,53.3161
"186","DINA",277589899,53.18813
"187","DINA",275568724.6,53.90258
"188","DINA",274585565.8,53.78529
"189","DINA",273758368.2,53.78529
"190","DINA",272794561.2,55.2888
"191","DINA",271947729,54.38245
"192","DINA",271502110,54.08387
"193","DINA",270766865,52.39906
"194","DINA",269740547.6,53.15615
"195","DINA",268767580.6,54.01986
"196","DINA",267766282.2,58.25318
"197","DINA",266618975.6,54.08387
"198","DINA",265511744.8,54.08387
"199","DINA",263944408.6,52.82559
"200","DINA",263113759.6,54.08387
"201","DINA",261833198.6,53.99855
"202","DINA",261034338.6,53.78529
"203","DINA",260251754.4,54.38245
"204","DINA",259563970.2,53.48673
"205","DINA",258692966.4,52.71894
"206","DINA",257595474.6,53.75331
"207","DINA",256914171.8,53.72131
"208","DINA",255916702.6,55.17151
"209","DINA",254572352.8,52.9962
"210","DINA",253579371.4,54.32911
"211","DINA",253126488.4,54.11585
"212","DINA",252492412.6,53.48671
"213","DINA",251686875.8,52.88957
"214","DINA",251144199,52.26043
"215","DINA",250628956.2,52.55901
"216","DINA",248652555,53.96655
"217","DINA",247948394,53.96656
"218","DINA",247331972.6,306.077
"219","DINA",246643134.6,52.96422
"220","DINA",245568335.2,54.96889
"221","DINA",244255765.8,55.17151
"222","DINA",243502829.2,53.48671
"223","DINA",242584779.2,54.29713
"224","DINA",241430241.4,52.88955
"225","DINA",240369470.8,54.2225
"226","DINA",239283012.4,52.59099
"227","DINA",237420013.8,56.17382
"228","DINA",236277476,53.18815
"229","DINA",235480658,53.62534
"230","DINA",234588108.4,53.83861
"231","DINA",233903495,52.9962
"232","DINA",233490065,53.73197
"233","DINA",232201905.8,53.24145
"234","DINA",231428380,53.73195
"235","DINA",230615246.2,54.32911
"236","DINA",229864996.2,54.62769
"237","DINA",229647960.2,54.62769
"238","DINA",229283623,54.32911
"239","DINA",228422414.2,54.29712
"240","DINA",227947142,53.78529
"241","DINA",226497438.4,53.78529
"242","DINA",225582911.6,53.40139
"243","DINA",224717795.6,56.77098
"244","DINA",223816436,52.45238
"245","DINA",223176098.4,52.9962
"246","DINA",222529244.6,53.15615
"247","DINA",221285124,53.18813
"248","DINA",220906518.4,53.78529
"249","DINA",220352072.4,53.29478
"250","DINA",220133070.4,53.78529
"251","DINA",219606828.2,53.604
"252","DINA",218124399.8,54.03053
"253","DINA",217492578.6,54.95822
"254","DINA",216956699.2,52.22843
"255","DINA",216399106.2,54.20114
"256","DINA",215904697.8,53.18813
"257","DINA",215481625.2,53.18813
"258","DINA",214900733,54.03053
"259","DINA",214561622.2,53.54002
"260","DINA",214038124.6,55.99257
"261","DINA",213572523.8,53.25212
"262","DINA",213110387.4,53.09217
"263","DINA",212298983.4,51.99385
"264","DINA",211345039.2,54.1585
"265","DINA",211145761.4,53.12415
"266","DINA",210824244.2,53.24144
"267","DINA",210340208.4,53.69997
"268","DINA",209278785.2,54.19049
"269","DINA",209095994.8,53.64666
"270","DINA",208557963,54.95822
"271","DINA",208018191.8,52.55899
"272","DINA",207278781.4,53.29478
"273","DINA",206605854.8,52.91089
"274","DINA",206070363.4,53.12415
"275","DINA",205403390.6,54.44638
"276","DINA",204611144.8,53.12415
"277","DINA",203885962.6,52.69762
"278","DINA",203496456.8,52.55899
"279","DINA",203150726.4,53.73195
"280","DINA",202690936.6,53.48671
"281","DINA",202421182.4,53.99855
"282","DINA",201555075.8,53.43339
"283","DINA",201104029.6,53.42273
"284","DINA",200700537.6,54.79828
"285","DINA",200419634.4,54.60633
"286","DINA",199952124.6,52.88955
"287","DINA",199140901.2,53.72131
"288","DINA",198422019.2,53.48671
"289","DINA",198158056.6,53.14548
"290","DINA",197664106.8,52.85757
"291","DINA",197312724.6,52.69762
"292","DINA",196686361.6,53.78529
"293","DINA",196181916.4,53.32676
"294","DINA",195821843.4,56.47239
"295","DINA",195464891.2,53.42273
"296","DINA",195121788,53.54003
"297","DINA",194731935.8,53.85994
"298","DINA",194376710,57.12286
"299","DINA",193598870,53.66799
"300","DINA",193158983.2,53.12417
"301","DINA",192778839,52.94287
"302","DINA",192336599,51.90853
"303","DINA",191987964.8,54.62769
"304","DINA",191393512.6,53.62534
"305","DINA",190995408.2,54.03053
"306","DINA",190556458.6,52.39904
"307","DINA",190105255,52.63364
"308","DINA",189680251.8,53.18813
"309","DINA",189398244.4,52.33506
"310","DINA",189056747,54.96889
"311","DINA",188835942.4,53.94523
"312","DINA",188390207.2,52.39904
"313","DINA",187773040,54.27578
"314","DINA",187429578,54.03054
"315","DINA",187136483.6,53.73195
"316","DINA",186746221.6,53.43339
"317","DINA",186428072.6,53.18813
"318","DINA",185964657,52.88955
"319","DINA",185473687.4,53.18813
"320","DINA",185059381.4,53.604
"321","DINA",184406777,53.61467
"322","DINA",183920782.8,53.78529
"323","DINA",183375040.6,53.78529
"324","DINA",183072702.6,52.36706
"325","DINA",182605051.2,53.36941
"326","DINA",182365712.8,53.73195
"327","DINA",181862276.8,52.9962
"328","DINA",181435617.8,53.54002
"329","DINA",180755820,53.24144
"330","DINA",180344576.8,54.03053
"331","DINA",180014143.4,52.79359
"332","DINA",179425725.4,54.46774
"333","DINA",178989997,55.3421
"334","DINA",178690796.6,54.03053
"335","DINA",178417341.4,51.8019
"336","DINA",177949121,52.9962
"337","DINA",177289707,53.29478
"338","DINA",176685676.4,52.45236
"339","DINA",176099756.6,54.00921
"340","DINA",175825778.4,54.81961
