gperc,nb,thres,sh,avg
0,1559830,-14500000,-0.0025,-150447
1,1568763,-70700,-0.00107,-63911
2,1562973,-61200,-0.00099,-59555
3,1564747,-57400,-0.0008,-47966
4,1565387,-39300,-0.00055,-32927
5,1564721,-26600,-0.00039,-23551
6,1560916,-22500,-0.00037,-22344
7,1566193,-21700,-0.00036,-21616
8,1566188,-20700,-0.0003,-17890
9,1561373,-16300,-0.00026,-15730
10,1563955,-15700,-0.00025,-15054
11,1563031,-14300,-0.00023,-13618
12,1568160,-13000,-0.00022,-12939
13,1565367,-12600,-0.0002,-11701
14,1564298,-10900,-0.00014,-8548
15,1563576,-6300,-8E-05,-4900
16,1564118,-3900,-4E-05,-2173
17,1564547,-700,0,-123
18,1565922,0,0,0
19,1563335,0,0,0
20,1562504,0,0,0
21,1566222,0,0,3
22,1564235,40,1E-05,300
23,1563248,640,1E-05,758
24,1566574,820,2E-05,1029
25,1562367,1200,2E-05,1326
26,1564688,1350,3E-05,1527
27,1566394,1650,3E-05,1840
28,1564253,2250,5E-05,2925
29,1563468,3450,7E-05,4153
30,1564440,4850,9E-05,5552
31,1565090,6350,0.00012,7280
32,1562570,8350,0.00016,9551
33,1564406,10700,0.00019,11576
34,1563945,12400,0.00023,13529
35,1566699,14800,0.00027,16304
36,1561915,17400,0.00031,18882
37,1567744,20400,0.00037,21906
38,1562815,23300,0.00042,24935
39,1563184,26400,0.00047,28087
40,1564665,29900,0.00051,30867
41,1564022,32200,0.00057,34261
42,1567441,36400,0.00065,38940
43,1562501,41300,0.00072,43384
44,1564370,45000,0.00078,46959
45,1564907,48400,0.00084,50135
46,1563487,52400,0.00092,55277
47,1565492,58100,0.00102,60929
48,1563090,63600,0.0011,66337
49,1564750,69100,0.0012,71758
50,1564154,74600,0.00129,77526
51,1564171,80200,0.00138,82950
52,1564350,85900,0.00149,89289
53,1566579,92400,0.0016,95762
54,1563604,99300,0.0017,102083
55,1565519,105000,0.00181,108398
56,1563498,112000,0.00192,115576
57,1565385,119000,0.00205,122883
58,1564081,125000,0.00215,129114
59,1564903,133000,0.0023,137954
60,1563858,142000,0.00245,147069
61,1564698,152000,0.0026,155933
62,1564710,161000,0.00276,165755
63,1565027,171000,0.00294,176411
64,1564071,182000,0.00312,187483
65,1562820,193000,0.0033,198549
66,1566566,204000,0.00352,210709
67,1562734,218000,0.00375,225139
68,1565377,231000,0.00398,238507
69,1562905,246000,0.00422,253655
70,1563736,262000,0.0045,269973
71,1566863,278000,0.00478,286632
72,1564012,296000,0.00509,305797
73,1562237,316000,0.00541,324847
74,1567808,335000,0.00577,345274
75,1564536,355000,0.00612,367386
76,1561500,379000,0.00652,391917
77,1565979,404000,0.00693,415505
78,1565374,427000,0.00734,440315
79,1564024,455000,0.00781,468969
80,1563687,483000,0.0083,498649
81,1563176,516000,0.00889,534202
82,1566918,553000,0.00958,573876
83,1564692,594000,0.01025,614941
84,1562340,637000,0.01101,661364
85,1566659,685000,0.01193,715117
86,1561831,745000,0.01293,777171
87,1566505,810000,0.01408,843968
88,1561340,879000,0.01527,918188
89,1567629,962000,0.016899999,1011925
90,1564821,1060000,0.01856,1113840
91,1564153,1170000,0.02059,1236001
92,1564004,1310000,0.02299,1380426
93,1559993,1450000,0.02585,1555633
94,1569668,1670000,0.030339999,1814972
95,1562943,1970000,0.03627,2178929
96,1565302,2380000,0.043919999,2634294
97,1564620,2930000,0.057700001,3462768
98,1562904,4200000,0.093670003,5626988
99,158271,7850000,0.01382,8198608
99.09999847,156627,8640000,0.01505,9021903
99.19999695,156187,9420000,0.016310001,9804684
99.30000305,156643,10200000,0.0178,10668681
99.40000153,155891,11100000,0.019509999,11751225
99.5,157004,12600000,0.022609999,13523607
99.59999847,156480,14800000,0.02705,16229869
99.69999695,156475,18300000,0.034260001,20556104
99.80000305,156312,23500000,0.050949998,30605328
99.90000153,15769,39100000,0.00672,40018880
99.91000366,15619,40900000,0.00703,42275840
99.91999817,15647,43600000,0.0075,44981200
99.93000031,15653,46500000,0.0079,47359036
99.94000244,15512,49500000,0.00873,52859784
99.94999695,15790,56000000,0.0101,60037516
99.95999908,15618,66200000,0.01213,72901024
99.97000122,15659,82400000,0.016720001,100277344
99.98000336,15638,119000000,0.02482,149047648
99.98999786,1564,191000000,0.00328,197194976
99.99099731,1581,204000000,0.00355,210686432
99.99199677,1548,216000000,0.00376,228076400
99.99299622,1585,243000000,0.00432,255712576
99.9940033,1556,271000000,0.00476,286969760
99.99500275,1568,300000000,0.00535,320330624
99.9960022,1556,344000000,0.00636,383554432
99.99700165,1558,430000000,0.00856,515865856
99.9980011,1563,611000000,0.01241,745465856
99.99900055,171,926000000,0.00171,938747648
99.99909973,158,970000000,0.00167,994579456
99.99919891,141,1038000000,0.00159,1060000000
99.9992981,162,1088000000,0.00195,1130000000
99.99939728,154,1196000000,0.00203,1240000000
99.99949646,155,1284000000,0.0022,1330000000
99.99960327,173,1436000000,0.00295,1600000000
99.99970245,166,1880999936,0.0038,2150000128
99.99980164,160,2700000000,0.0059,3460000000
99.99990845,32,4499999744,0.00168,4940000256
99.99992371,15,5400000000,0.00089,5590000128
99.99993896,17,5800000000,0.00109,6030000128
99.99994659,32,6200000000,0.00238,6979999744
99.99996948,15,8400000000,0.00147,9219999744
99.99997711,32,10800000000,0.00654,19200000000
99.99999237,12,44899999744,0.00873,68300001280
