gperc,nb,thres,sh,avg,total,made_up
0,2450913,-11300000,-0.00286,-109407,-2.68E+11,0
1,2452285,-61200,-0.00156,-59858,-1.47E+11,0
2,2451618,-59600,-0.00128,-48970,-1.20E+11,0
3,2452552,-37900,-0.00088,-33791,-82874184632,0
4,2451296,-31600,-0.0007,-26671,-65378515616,0
5,2451956,-23500,-0.00059,-22773,-55838393988,0
6,2453151,-22500,-0.00058,-22322,-54759236622,0
7,2451891,-21700,-0.00057,-21719,-53252620629,0
8,2451265,-21700,-0.00052,-19842,-48638000130,0
9,2452169,-17900,-0.00044,-16869,-41365638861,0
10,2452051,-16000,-0.00041,-15697,-38489844547,0
11,2452785,-15700,-0.00041,-15595,-38251182075,0
12,2452289,-14900,-0.00037,-14325,-35129039925,0
13,2448375,-13900,-0.00034,-13171,-32247547125,0
14,2454585,-13000,-0.00034,-12953,-31794239505,0
15,2452775,-12800,-0.00031,-11922,-29241983550,0
16,2451632,-10900,-0.00024,-9199,-22552562768,0
17,2451281,-6650,-0.00012,-4773,-11699964213,0
18,2452862,-3250,-4.00E-05,-1562,-3831370444,0
19,2451935,0,0,0,0,0
20,2451857,0,0,0,0,0
21,2451528,0,0,0,0,0
22,2450715,0,0,0,0,0
23,2452067,0,0,0,0,0
24,2451670,0,0,60,147100200,0
25,2451908,600,2.00E-05,731,1792344748,0
26,2453800,760,2.00E-05,952,2336017600,0
27,2448931,1250,3.00E-05,1333,3264425023,0
28,2455021,1350,4.00E-05,1448,3554870408,0
29,2452747,1650,4.00E-05,1673,4103445731,0
30,2451757,1750,6.00E-05,2386,5849892202,0
31,2452145,3050,0.00011,4397,10782081565,0
32,2451879,6050,0.00021,7955,19504697445,0
33,2452021,9900,0.0003,11421,28004531841,0
34,2452053,12400,0.00037,14175,34757851275,0
35,2452689,16000,0.00045,17226,42250020714,0
36,2452045,18800,0.00054,20671,50686222195,0
37,2450698,22400,0.00064,24560,60189142880,0
38,2453168,25800,0.00073,28109,68956099312,0
39,2451070,30200,0.00081,30910,75762573700,0
40,2452647,32200,0.00089,34237,83971275339,0
41,2451153,36100,0.00099,38027,93209995131,0
42,2452238,39800,0.00109,41794,1.02E+11,0
43,2452318,43600,0.00118,45095,1.11E+11,0
44,2452079,46800,0.00125,47933,1.18E+11,0
45,2452267,49100,0.00132,50433,1.24E+11,0
46,2451257,52400,0.00142,54454,1.33E+11,0
47,2452908,56400,0.00153,58482,1.43E+11,0
48,2451118,60500,0.00164,62655,1.54E+11,0
49,2453268,65000,0.00176,67505,1.66E+11,0
50,2451918,70000,0.00189,72435,1.78E+11,0
51,2450856,74800,0.00201,77168,1.89E+11,0
52,2452266,79500,0.00214,81866,2.01E+11,0
53,2453033,84400,0.00228,87092,2.14E+11,0
54,2451918,90000,0.00242,92758,2.27E+11,0
55,2451756,95700,0.00258,98769,2.42E+11,0
56,2451425,102000,0.00271,103975,2.55E+11,0
57,2453052,107000,0.00288,110326,2.71E+11,0
58,2451716,114000,0.00306,117202,2.87E+11,0
59,2451091,121000,0.00323,123727,3.03E+11,0
60,2451925,125000,0.00336,128682,3.16E+11,0
61,2452148,132000,0.00355,135813,3.33E+11,0
62,2453301,140000,0.00375,143520,3.52E+11,0
63,2450757,148000,0.00396,151672,3.72E+11,0
64,2452202,156000,0.00419,160531,3.94E+11,0
65,2452923,165000,0.00444,170060,4.17E+11,0
66,2451759,175000,0.00469,179662,4.40E+11,0
67,2452313,184000,0.00495,189620,4.65E+11,0
68,2451791,195000,0.00523,200289,4.91E+11,0
69,2451949,206000,0.00552,211289,5.18E+11,0
